Year,State,Evs,Infrastructure,Electricity_Price,Gas_Price,Median_Income,Political_Control,Car_Price_Difference,Lithium_Price,EV_Range,Combined_EV_Tax_Credit,Motor_Fuel_Tax,HOV_Access
2014,GA,14.3952,0.6655,11.34,2.6118,59940,0.2164,2958,356,84,7500,7.5,1
2015,GA,20.3852,1.1436,11.09,1.6546,61450,0.2192,1539,325,90,7500,26,1
2016,GA,21.6125,1.4638,11.07,1.4012,64230,0.222,6108,298,218,7500,26,1
2017,GA,22.7073,1.8251,11.42,1.6193,68370,0.242,3021,261,194,7500,26.3,1
2018,GA,26.7507,2.0778,10.96,1.8859,64520,0.262,1504,229,213,7500,26.8,1
2019,GA,30.4641,2.7681,11.02,1.7321,64500,0.2669,18661,211,239,7500,27.5,1
2020,GA,34.3502,3.3963,12.03,1.2269,66810,0.2717,3897,190,259,7500,27.9,1
2021,GA,43.4767,3.6505,12.93,2.0918,66310,0.2774,11281,169,234,7500,28.7,1
2022,GA,59.1424,3.7762,14.31,2.708,67730,0.2832,17197,153,257,7500,29.1,1
2014,ID,0.705,0.141,10.24,2.6539,64640,0.1333,2958,356,84,7500,25,0
2015,ID,1.0418,0.424,10.32,1.8109,62490,0.1214,1539,325,90,7500,32,0
