Year,State,Evs,Infrastructure,Electricity_Price,Gas_Price,Median_Income,Political_Control,Car_Price_Difference,Lithium_Price,EV_Range,Combined_EV_Tax_Credit,Motor_Fuel_Tax,HOV_Access
2018,ND,1.3191,0.3694,10.83,1.9537,76870,0.1241,1504,229,213,7500,23,0
2019,ND,2.5195,0.6036,10.51,1.8069,79760,0.1117,18661,211,239,7500,23,0
2020,ND,3.0786,1.2956,10.62,1.2264,72270,0.0993,3897,190,259,7500,23,0
2021,ND,4.7816,1.7867,11.61,2.0928,74280,0.0851,11281,169,234,7500,23,0
2022,ND,7.8571,2.2082,11.73,2.6827,78720,0.0709,17197,153,257,7500,23,0
2014,OH,0.8076,0.206,13,2.6304,60050,0.2155,2958,356,84,7500,28,0
2015,OH,1.2679,0.3133,12.89,1.6385,64520,0.1163,1539,325,90,7500,28,0
2016,OH,1.8368,0.4487,12.28,1.412,64770,0.0171,6108,298,218,7500,28,0
2017,OH,2.6759,0.6647,12.58,1.6074,71560,0.118,3021,261,194,7500,28,0
2018,OH,5.2465,0.8128,12.48,1.8722,71240,0.2189,1504,229,213,7500,28,0
2019,OH,9.2993,1.1481,11.81,1.7593,73650,0.2088,18661,211,239,7500,38.5,0
2020,OH,12.8722,1.5595,13.01,1.1923,68060,0.1987,3897,190,259,7500,38.5,0
2021,OH,19.0774,1.8725,13.24,2.0403,67600,0.1886,11281,169,234,7500,38.5,0
2022,OH,27.8332,2.3819,15.25,2.552,67520,0.1785,17197,153,257,7500,38.5,0
2014,OK,1.5574,0.1186,10.74,2.5756,57090,0.1513,2958,356,84,13000,17,0
2015,OK,1.7624,0.2021,11.12,1.6568,56990,0.1394,1539,325,90,13000,17,0
2016,OK,2.0172,0.2623,11.03,1.3658,61120,0.1275,6108,298,218,13000,17,0
2017,OK,3.3627,0.3485,11.01,1.6237,61180,0.1362,3021,261,194,13000,17,0
2018,OK,9.4512,0.4238,11,1.9073,62920,0.145,1504,229,213,13000,20,0
2019,OK,10.8037,0.7809,10.98,1.7609,67650,0.1351,18661,211,239,13000,20,0
2020,OK,12.2717,1.7477,10.79,1.1843,59150,0.1252,3897,190,259,13000,20,0
2021,OK,21.5551,2.7257,12.95,2.0612,64800,0.1234,11281,169,234,13000,20,0
2022,OK,40.5347,2.7194,14.42,2.6363,63440,0.1216,17197,153,257,13000,20,0
2014,OR,8.5511,2.4954,10.78,2.6897,71220,0.7323,2958,356,84,12500,30,0
2015,OR,12.3662,2.7467,10.93,1.8197,73640,0.7222,1539,325,90,12500,30,0
2016,OR,16.895,3.1076,10.98,1.4832,70950,0.7121,6108,298,218,12500,30,0
2017,OR,22.2052,3.2894,10.97,1.7885,73690,0.7237,3021,261,194,12500,30,0
2018,OR,30.6106,3.6921,11.24,2.1296,79950,0.7354,1504,229,213,12500,34,0
2019,OR,43.0729,4.4882,11.21,1.9915,84760,0.7348,18661,211,239,12500,34,0
2020,OR,54.2915,4.987,11.37,1.4425,86630,0.7343,3897,190,259,12500,36,0
2021,OR,73.8336,5.7301,11.73,2.3065,88260,0.7232,11281,169,234,12500,36,0
2022,OR,103.6024,5.831,11.91,2.9443,86780,0.7121,17197,153,257,12500,38,0
2014,PA,1.1417,0.2979,13.42,2.6274,66740,0.2713,2958,356,84,10500,31.2,0
2015,PA,1.6465,0.3809,14.49,1.6245,73100,0.423,1539,325,90,10500,50.5,0
2016,PA,2.4299,0.5273,14.4,1.3844,73170,0.5746,6108,298,218,10500,50.3,0
2017,PA,3.3329,0.6084,14.69,1.6156,72260,0.6003,3021,261,194,10500,58.2,0
2018,PA,6.2988,0.7703,14.1,1.8989,74580,0.626,1504,229,213,10500,57.6,0
2019,PA,9.6876,1.1522,14.19,1.7462,80390,0.6252,18661,211,239,10500,57.6,0
2020,PA,13.8894,1.5759,13.93,1.2066,79800,0.6244,3897,190,259,10500,57.6,0
2021,PA,21.5413,2.0479,14.53,2.0812,78310,0.6359,11281,169,234,10500,57.6,0
2022,PA,34.0423,2.5031,17.63,2.675,72210,0.6475,17197,153,257,10500,57.6,0
2014,RI,0.9565,1.4111,17.2,2.6968,70920,0.9054,2958,356,84,10000,32,0
2015,RI,1.4867,1.6855,19.68,1.4,67430,0.9083,1539,325,90,10000,33,0
2016,RI,2.3846,1.9304,18.89,1.5138,73830,0.9111,6108,298,218,10000,33,0
2017,RI,3.9501,2.0461,19.53,1.6277,77120,0.9136,3021,261,194,10000,33,0
2018,RI,6.5483,2.3434,21.46,1.9443,71970,0.9161,1504,229,213,10000,34,0
2019,RI,10.3647,3.8419,21.83,1.8138,79900,0.9139,18661,211,239,10000,35,0
